取引番号,取引原資産,オプションの種類,方向," 取引内容 ","ステータス ",購入,"ペイアウト ","判定レート "," 取引時間 "," 終了時刻 "
713934638,NZD/JPY," Turbo ",LOW,74.840,取引終了,"￥1,000",---,74.846,"2021/08/20 20:21:41","2021/08/20 20:24:41"
713934614,NZD/JPY," Turbo ",LOW,74.841,取引終了,"￥1,000",---,74.846,"2021/08/20 20:21:38","2021/08/20 20:24:38"
713784047,CHF/JPY," HighLow ",HIGH,119.726,取引終了,"￥5,000",---,119.726,"2021/08/20 13:32:54","2021/08/20 13:35:00"
713726985,GBP/JPY," Turbo ",HIGH,149.339,取引終了,"￥3,739","￥7,104",149.352,"2021/08/20 10:45:58","2021/08/20 10:48:58"
713726060,GBP/JPY," Turbo ",HIGH,149.409,取引終了,"￥1,000",---,149.350,"2021/08/20 10:45:15","2021/08/20 10:48:15"
713725808,GBP/JPY," Turbo ",HIGH,149.425,取引終了,"￥1,000",---,149.340,"2021/08/20 10:45:03","2021/08/20 10:48:03"
713725291,GBP/JPY," Turbo ",HIGH,149.428,取引終了,"￥1,000",---,149.346,"2021/08/20 10:44:59","2021/08/20 10:47:59"
713720339,NZD/JPY," Turbo ",HIGH,74.764,取引終了,"￥3,547","￥6,739",74.795,"2021/08/20 10:38:59","2021/08/20 10:41:59"
713719567,GBP/JPY," Turbo ",HIGH,149.549,取引終了,"￥5,000",---,149.523,"2021/08/20 10:38:11","2021/08/20 10:41:11"
713718607,GBP/JPY," Turbo ",HIGH,149.606,取引終了,"￥5,000",---,149.502,"2021/08/20 10:37:05","2021/08/20 10:40:05"
713718286,AUD/JPY," Turbo ",HIGH,78.353,取引終了,"￥5,000",---,78.260,"2021/08/20 10:36:58","2021/08/20 10:39:58"
713716393,GBP/JPY," Turbo ",HIGH,149.662,取引終了,"￥3,000",---,149.608,"2021/08/20 10:34:03","2021/08/20 10:37:03"
713716138,GBP/JPY," Turbo ",HIGH,149.662,取引終了,"￥5,000",---,149.643,"2021/08/20 10:33:35","2021/08/20 10:36:35"
713715958,NZD/JPY," Turbo ",HIGH,74.898,取引終了,"￥5,000",---,74.891,"2021/08/20 10:33:12","2021/08/20 10:36:12"
713626342,AUD/JPY," Turbo ",LOW,78.746,取引終了,"￥5,000","￥9,500",78.734,"2021/08/20 00:51:00","2021/08/20 00:54:00"
713625684,NZD/JPY," Turbo ",LOW,75.245,取引終了,"￥1,000",---,75.253,"2021/08/20 00:49:57","2021/08/20 00:52:57"
713624812,NZD/JPY," Turbo ",LOW,75.241,取引終了,"￥5,000",---,75.285,"2021/08/20 00:47:59","2021/08/20 00:50:59"
713604215,EUR/USD," Turbo ",HIGH,1.16806,取引終了,"￥5,000","￥9,500",1.16853,"2021/08/20 00:01:03","2021/08/20 00:04:03"
713596173,USD/CAD," HighLow ",LOW,1.28167,取引終了,"￥5,000","￥9,250",1.28129,"2021/08/19 23:50:59","2021/08/20 00:00:00"
713588352,GBP/JPY," Turbo ",HIGH,149.860,取引終了,"￥5,000","￥9,500",149.895,"2021/08/19 23:38:57","2021/08/19 23:41:57"
713587473,AUD/JPY," Turbo ",HIGH,78.570,取引終了,"￥5,000",---,78.551,"2021/08/19 23:38:02","2021/08/19 23:39:02"
713585762,USD/CAD," HighLow ",LOW,1.27976,取引終了,"￥5,000",---,1.27987,"2021/08/19 23:35:56","2021/08/19 23:45:00"
713583165,AUD/JPY," Turbo ",HIGH,78.615,取引終了,"￥3,000",---,78.580,"2021/08/19 23:33:59","2021/08/19 23:36:59"
713582067,GBP/JPY," Turbo ",HIGH,149.968,取引終了,"￥3,000",---,149.951,"2021/08/19 23:32:59","2021/08/19 23:35:59"
713513156,EUR/JPY," Turbo ",LOW,128.381,取引終了,"￥5,000","￥9,500",128.357,"2021/08/19 21:42:01","2021/08/19 21:45:01"
713508890,EUR/USD," Turbo ",LOW,1.17038,取引終了,"￥5,000","￥9,500",1.17033,"2021/08/19 21:35:59","2021/08/19 21:38:59"
713489311,GBP/JPY," Turbo ",HIGH,149.802,取引終了,"￥5,000","￥9,500",149.821,"2021/08/19 21:00:48","2021/08/19 21:03:48"
713487313,GBP/JPY," Turbo ",HIGH,149.917,取引終了,"￥1,000",---,149.887,"2021/08/19 20:59:51","2021/08/19 21:00:21"
713487152,GBP/JPY," Turbo ",HIGH,149.916,取引終了,"￥1,000",---,149.799,"2021/08/19 20:59:47","2021/08/19 21:00:47"
713487086,GBP/JPY," Turbo ",HIGH,149.916,取引終了,"￥1,000",---,149.828,"2021/08/19 20:59:44","2021/08/19 21:02:44"
713485263,GBP/JPY," Turbo ",HIGH,149.928,取引終了,"￥3,000",---,149.910,"2021/08/19 20:57:03","2021/08/19 21:00:03"
713475735,EUR/JPY," Turbo ",LOW,128.325,取引終了,"￥5,000","￥9,500",128.299,"2021/08/19 20:42:13","2021/08/19 20:45:13"
712783010,GBP/JPY," Turbo ",LOW,150.855,取引終了,"￥3,000","￥5,700",150.815,"2021/08/18 13:15:27","2021/08/18 13:18:27"
712782868,USD/JPY," Turbo ",LOW,109.682,取引終了,"￥3,000","￥5,700",109.660,"2021/08/18 13:15:15","2021/08/18 13:18:15"
712772009,AUD/JPY," Turbo ",LOW,79.685,取引終了,"￥5,000","￥9,500",79.663,"2021/08/18 12:54:00","2021/08/18 12:57:00"
712732728,AUD/USD," Turbo ",HIGH,0.72404,取引終了,"￥1,000","￥1,900",0.72443,"2021/08/18 11:02:58","2021/08/18 11:03:58"
712731277,NZD/USD," HighLow ",HIGH,0.68746,取引終了,"￥1,000","￥1,850",0.68806,"2021/08/18 11:00:37","2021/08/18 11:05:00"
712730085,NZD/USD," HighLow ",LOW,0.69429,取引終了,"￥5,000","￥9,250",0.68806,"2021/08/18 10:59:51","2021/08/18 11:05:00"
712720975,NZD/JPY," Turbo ",LOW,75.984,取引終了,"￥3,000","￥5,700",75.938,"2021/08/18 10:27:59","2021/08/18 10:30:59"
712720725,NZD/JPY," Turbo ",LOW,75.969,取引終了,"￥3,000",---,75.972,"2021/08/18 10:27:23","2021/08/18 10:30:23"
712717693,NZD/JPY," Turbo ",LOW,75.951,取引終了,"￥3,000","￥5,700",75.903,"2021/08/18 10:16:51","2021/08/18 10:19:51"
712715731,NZD/JPY," Turbo ",LOW,75.911,取引終了,"￥5,000","￥9,500",75.903,"2021/08/18 10:12:02","2021/08/18 10:15:02"
712711254,GBP/JPY," Turbo ",HIGH,150.457,取引終了,"￥5,000","￥9,500",150.479,"2021/08/18 10:00:37","2021/08/18 10:03:37"
712710432,GBP/JPY," Turbo ",HIGH,150.486,取引終了,"￥5,000",---,150.466,"2021/08/18 09:59:55","2021/08/18 10:02:55"
